User ID,Message,Spam
9873456,Looking To Hook Up!,True
5234634,I love the dog,False
3459768,YAYS!!!!,False
1236354,What a life bro.,False
5234634,Derpy animals be like,False
9873456,Looking To Hook Up!,True
7358642,Nice!,False
2856467,Why are you so curious?,False
6734123,Oh no,False
9873456,Looking To Hook Up!,True
4567122,That's so cool. I wish I had one,False
2356253,Keep it up man,False
1538548,When will it come out?,False
8593523,Wow just wow,False
7068688,This is a great movie.,False
9873456,Looking To Hook Up!,True
6138354,Want to buy a car?,True
4830172,Lovely artwork,False
4109234,Nice,False
9873456,Looking To Hook Up!,True
5063456,People really need to calm down,False
9876056,"I've always wondered how bunnies wear hats, thanks for the revelation Mercy!",False
2874896,Some of the photos I had forgotten to share from my trip this summer...,False
1896561,"Went snowboarding today, fell once trying to do a 360 and hurt myself, but other than that, super fun!",False
1259135,"I'm excited about playing my first soccer game for the season, nervous as well because I'm rusty",False
4864651,Okay but you need to change your pfp now like fr,False
4168545,"If anyone wants a custom mask hmu. They are free, I just want to do it for fun. Just show me your idea by a drawing or a description",False
4156845,@pinstriped_lily is so lawless that she created counterfeit money earlier today.,True
4684654,No way!! Him eating is so cool!! Im gonna to call him Roman noodle just so you know!,False
6855478,"Today my brother marries @rach_woods97 and I could not be more excited! Rachel, I cannot wait for you OFFICIALLY join the fam! Love you sis! Ethan, you are such a great man of God and incredible brother. Love you bro! Cannot wait to see what God does in your lives. He has so much planned for a few more hours!!!",False
4689478,Happy birthday to the greatest Dad in the entire universe. This man is my absolute hero. He always makes me laugh and puts up with my nerdy shenanigans. Thank you for always running around Disneyland and supporting me! I love you so much Dad!,False
9835516,Excited for your new adventure! I remember that day you cracked your head open. I had to help get you to their medical station,False
3216848,Love my BFFs and all the shenanigans we get into! All the lake days and sunset picnics! Loving and missing you all!,False
4365468,"You're such a beast! So grateful to meet you and your sister, and to see God move!! But safe travels to you all!",False
4652854,That guy in the first photo sure looks like a duffus,False
2654654,"vvyzwfhyyjxqjviixdq, mattress toppers, onWZDtrm.",True
8494561,Promote it on @epicstreamers,True
3465545,I'm paying off DEBTS of first 5 people to hit me up with Faith,True
6551623,Don't view my stories,False
4687864,"Yes, it's meet a beauty, free and single girl! I really whant  to show you my s*x phots at first, then we can chill, you know what I am talking about. Sign up link below and write me",True
8796654,Tell your friends tell everything this is the best way to get followers followstagram.com,True
8975642,How well do you know your man? Search his number on my bio and prepare yourself for the results,True
3241186,Heya have you ben fighting to loose that belly FAST? One strange tip to shed 3 kg in one week!,True
1657354,"If your account is banned don't panic, just send @net_scott22 a DM on instagram and he will help you recover it. It is very safe and fast",True
8975123,Congratulations! You have waon an iPhone13 Click on link in description @c.li.ck.15,True
4646156,Are you ready to make BIG $$$$ by working from home?!?!?! Click this link to start making BANK from ur COUCH: www.click.com,True
6496321,"Dm me to buy verification badge, PAYPAL ONLY",True
8451132,"ALL NUDE PICS POSTED ON WEBSITE, LOOK! BIT.LY/Abby.com",True
3215681,Are we just gonna ignore the fact that I have a HUGE booty? Click on my profile now!,True
